Users,ScreenUsage,HeartRate, ActivFit, storage, Notif, BatterySensor, Bluetooth, LightSensor, Activity,SA,Errors
74bfe8a9675efd5c,5.0,5.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,5.0,0.0
8d760fdf1ac9105f,65.0,35.0,10.0,0.0,74.0,76.0,68.0,0.0,11.0,76.0,3.0
57b1c1bfa2aefa7f,55.0,55.0,0.0,0.0,54.0,55.0,54.0,0.0,0.0,55.0,7.0
c4c7fe5d4027589e,28.0,10.0,3.0,0.0,17.0,34.0,25.0,34.0,3.0,34.0,0.0
de007d5987614e7b,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
87a1427a2e9bcf5e,17.0,1.0,17.0,0.0,17.0,17.0,16.0,17.0,16.0,17.0,0.0
1408eb09fe8d763f,6.0,0.0,7.0,0.0,8.0,7.0,8.0,7.0,7.0,8.0,1.0
4ee1b2b68326bfaf,5.0,4.0,5.0,0.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0
4e4358d9097b00ed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ebdb50a679f0f5e2,60.0,60.0,15.0,0.0,47.0,60.0,50.0,60.0,0.0,60.0,0.0
f0d98eb6cdd7afa2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8555e3a468bbfd3e,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2d8a6ef2733c821b,4.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,4.0,0.0
5cef4dd71ec57cf3,3.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0
33ca0c0a0aa9a910,4.0,0.0,3.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0
1851e9c1a6fc2613,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8f350568b948924c,81.0,0.0,33.0,0.0,73.0,81.0,76.0,0.0,32.0,81.0,9.0
cae573de29dae44b,3.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0
cdb2ae2dfd5844a9,99.0,99.0,0.0,0.0,96.0,100.0,89.0,100.0,0.0,100.0,1.0
2063268a33285126,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
ea8818c439e46c10,5.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,5.0,0.0
baf603fb28c02919,45.0,45.0,27.0,0.0,45.0,45.0,30.0,0.0,27.0,45.0,0.0
4de1f27b1f17da88,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
91375c0fbc04ed41,3.0,4.0,4.0,0.0,4.0,6.0,4.0,6.0,4.0,6.0,1.0
3a2370b708c8a31a,6.0,6.0,7.0,0.0,0.0,6.0,7.0,0.0,5.0,7.0,0.0
11089d01dd0d954e,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
fda182d0727f3039,159.0,155.0,0.0,0.0,156.0,162.0,132.0,0.0,0.0,162.0,1.0
9c2813af28e0e98a,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,7.0,1.0
d43c5ac5215769c6,72.0,0.0,72.0,0.0,72.0,72.0,72.0,0.0,72.0,72.0,0.0
94782f1066897315,171.0,0.0,99.0,0.0,166.0,173.0,159.0,174.0,98.0,174.0,1.0
e0ecd7c13983e13c,21.0,0.0,4.0,0.0,0.0,27.0,26.0,0.0,4.0,27.0,0.0
f75a11ba34e75345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840fbd78547b72af,52.0,0.0,0.0,0.0,58.0,58.0,55.0,58.0,0.0,58.0,3.0
ff8976562cf9e103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349b0b828d7c66f1,6.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,6.0,0.0
5f074abc2ae6c986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfe3242d4108461,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2c1fc243aecf87a2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
7fe273163c2186b8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c9a9f5b29b557a7a,4.0,0.0,4.0,0.0,4.0,3.0,4.0,3.0,0.0,4.0,1.0
8a0299052b708157,11.0,0.0,7.0,0.0,11.0,11.0,11.0,0.0,1.0,11.0,1.0
ad00b86d9e80d808,98.0,95.0,43.0,0.0,0.0,101.0,98.0,101.0,43.0,101.0,1.0
9bc48c706e5388f6,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0
d7d8f5647d00ff3f,121.0,120.0,6.0,0.0,122.0,122.0,122.0,0.0,6.0,122.0,5.0
ab11e0ac869e5dd8,185.0,180.0,106.0,0.0,184.0,186.0,147.0,186.0,106.0,186.0,1.0
215222b4aa9c3983,150.0,0.0,140.0,0.0,142.0,150.0,144.0,150.0,123.0,150.0,1.0
fbcca63e6d298741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bd483aa833dddd2e,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,1.0
91ce0629a86cc17d,5.0,1.0,5.0,0.0,5.0,5.0,4.0,0.0,5.0,5.0,1.0
d4a0001789d7baf3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
db24bee6d0dfcb93,115.0,115.0,20.0,0.0,104.0,115.0,90.0,115.0,19.0,116.0,1.0
4cf4ecfbf325285f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7adb2b0ce245c3f6,70.0,52.0,70.0,0.0,70.0,70.0,69.0,0.0,70.0,70.0,2.0
20757a593a1b3edf,7.0,7.0,0.0,0.0,7.0,7.0,6.0,7.0,0.0,7.0,1.0
aa9a4e1d2af95507,59.0,59.0,58.0,0.0,59.0,59.0,59.0,59.0,58.0,59.0,0.0
cdab69b01bac6bcc,37.0,38.0,19.0,0.0,0.0,38.0,32.0,38.0,0.0,38.0,0.0
491e3c9af7016a62,36.0,36.0,0.0,0.0,0.0,36.0,36.0,36.0,0.0,36.0,1.0
